!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
TP number      Age						Mcore 					   surface_opacity 		     surface_c12/c13 		   surface_n14/n15 		    surface_c/o
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!        
           1   780304925.65432012       0.50656102595825514        4.7211284520674319E-003   20.874063468213592        1301.7646083883790       0.18552532704305782     
           2   780503980.97394753       0.50963562450377886        3.9898969070238550E-003   20.874063448197138        1301.7646127306705       0.18552532704266739     
           3   780619276.06825674       0.51176151034903006        3.5867823055960595E-003   20.874063255904016        1301.7646693606880       0.18552532704075844     
           4   780754599.24048150       0.51492612484422351        2.9390221572186087E-003   20.874062225851375        1301.7650126221861       0.18552532703550562     
           5   780896587.41555691       0.51842614711630630        2.6976159046131600E-003   20.874060311607490        1301.7657425621187       0.18552532703723321     
           6   781047844.57779408       0.52292546640675552        2.3153228868266484E-003   20.874057270791756        1301.7669798942918       0.18552532704970212     
           7   781197876.19479871       0.52762514330742250        2.1446044822693573E-003   20.874032517816101        1301.7793404922697       0.18552532743143990     
           8   781349311.01656580       0.53313865575623265        1.8970599259107075E-003   20.873967651197848        1301.8082978502966       0.18552532796023694     
           9   781497510.12723219       0.53889879651424000        1.7462406431702187E-003   20.872451609011193        1301.9154362007660       0.18552510816124210     
          10   781641263.39114463       0.54510973297914134        1.5899940067129821E-003   20.869364877128412        1302.0592409413314       0.18552331474091052     
          11   781779336.54153800       0.55156600814753243        1.4647872696860128E-003   20.866085289969199        1302.2801182339610       0.18551513433658767     
          12   781910333.99731922       0.55821750683377303        1.3546621356305560E-003   20.862937448263960        1302.5504285702450       0.18550289035219783     
          13   782033870.96817517       0.56499666022222605        1.2582712117374178E-003   20.859860655775840        1302.8784791319456       0.18548779629145917     
          14   782149878.66889346       0.57184794274400941        1.1735677509096727E-003   20.856885888399990        1303.2331993099349       0.18547289034833561     
          15   782258482.09086370       0.57872527391759188        1.0992842734141271E-003   20.853954895948906        1303.6293869937203       0.18545888125559493     
          16   782359962.35332370       0.58559523008685932        1.0329178507471962E-003   20.851074782178681        1304.0546537682337       0.18544605035261857     
          17   782454671.86603057       0.59242038172155043        9.7441997848971766E-004   20.848241662513047        1304.5033548349963       0.18543433293639458     
          18   782543019.43905640       0.59918635330565684        9.2141749300303944E-004   20.845552601570365        1304.9307740543645       0.18542340201627031     
          19   782625470.79650402       0.60587543579326841        8.7386172468804544E-004   20.842960917111139        1305.3521361325440       0.18541324605272103     
          20   782702469.75583982       0.61247146600111391        8.3086910845084523E-004   20.840459828794963        1305.7667685146457       0.18540378523352774     
          21   782774465.24400389       0.61896365644300022        7.9168899349547699E-004   20.838028018634716        1306.1796839431213       0.18539497326861526     
          22   782841838.13376558       0.62533850855195483        7.5585307007326741E-004   20.835662981096291        1306.5890937257755       0.18538674319680631     
          23   782904965.66624343       0.63159847620042631        7.2301435160139764E-004   20.833410360613595        1306.9758916648491       0.18537892388501193     
          24   782964192.72764897       0.63773211033371491        6.9376044375486930E-004   20.831225165685527        1307.3548328878876       0.18537154932281419     
          25   783019838.82697678       0.64373557782922852        6.6593540957117264E-004   20.829048668077125        1307.7450934915448       0.18536468381172233     
          26   783072209.32470548       0.64961505973410005        6.4093288614251156E-004   20.826970124334927        1308.1135152929196       0.18535808835554859     
          27   783121574.47877192       0.65536407248128481        6.1747868787699796E-004   20.824901877217943        1308.4893174884025       0.18535190053290129     
          28   783168181.34986639       0.66098924094110711        5.9590241416460283E-004   20.822925437789827        1308.8431722169416       0.18534590530862663     
          29   783212251.09136713       0.66649011368782130        5.7529883286467894E-004   20.820991578805785        1309.1909821173324       0.18534016467724981     
          30   783253993.67575526       0.67185404575156826        5.5615495360611064E-004   20.818863728356998        1309.6080875800203       0.18533514357434788     
